Metro Area,Total,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Year
Atlanta,2232939,38502,138569,224436,296284,316141,140575,357762,83484,111114,262161,199202,64709,2010
Atlanta,2715426,32705,147908,259457,331404,356826,165922,437256,104428,149405,341197,283640,105278,2018
Atlanta,2588713,44118,139927,257494,308617,343624,175587,428964,111010,132745,314036,245520,87071,2023
Atlanta,2533900,40298,150012,252194,321136,349995,162464,414285,93763,120823,293170,247346,88414,2015
Atlanta,2264984,38588,141496,241939,281085,308241,136613,374372,80761,123216,263611,202421,72641,2011
Atlanta,2660218,36748,142731,251233,331257,362367,160946,431833,95952,135339,325313,290039,96460,2017
Atlanta,2486837,40882,155916,236738,331695,313746,172968,399913,110827,126698,302641,220748,74065,2022
Atlanta,2444559,37628,140277,253538,315857,344087,154259,375452,92169,122319,298007,231136,79830,2014
Atlanta,2369931,41686,144359,255204,312571,360622,135252,367105,83085,111028,287536,201852,69631,2013
Atlanta,2270521,38560,124494,241265,305422,322948,163818,370994,97385,119021,266197,165960,54457,2021
Atlanta,2297995,39716,146113,237028,302877,327796,142623,380259,87064,122385,265324,185561,61249,2012
Atlanta,2715402,39919,145340,241112,338514,355834,185119,430251,117639,138478,338489,281058,103649,2019
Atlanta,2598113,36089,160193,258656,321168,344074,148574,406260,99059,128197,319134,276516,100193,2016
Austin,893212,20515,68191,114629,141976,138219,58533,138864,25191,40081,81772,47989,17252,2013
Austin,1023148,24217,78401,121193,153426,149279,63934,159807,41224,48058,107557,59737,16315,2023
Austin,785623,18123,69432,101810,131570,124097,55598,123409,23487,27215,61891,36299,12692,2010
Austin,1049865,18777,78884,107190,161095,163269,77863,164280,36731,40651,117939,65291,17895,2018
Austin,964960,24420,67097,129848,145659,146380,71556,151652,37075,36816,87686,49695,17076,2022
Austin,955039,18119,78462,117852,149462,148200,67307,145900,30566,40628,89399,53446,15698,2015
Austin,986568,23598,69536,119140,157583,145128,70519,149273,32525,48033,91144,59292,20797,2016
Austin,1078106,20190,77833,120760,166657,155431,81727,165274,41247,47100,108551,72365,20971,2019
Austin,856005,19773,62982,105113,132681,130888,66935,146116,24969,36606,71781,45074,13087,2021
Austin,1016302,19743,80100,120144,156558,153850,71479,155161,33241,46572,102210,59264,17980,2017
Austin,918383,17985,73970,120169,143629,142363,59826,132558,28323,39830,88454,53981,17295,2014
Austin,852934,23141,72079,105734,139835,137512,51266,136365,27211,38122,66361,40436,14872,2012
Austin,813089,17256,74377,106332,131448,129541,49568,129360,19387,34911,63701,39834,17374,2011
Baltimore,1338289,17165,77832,133254,181764,189799,95067,200526,54702,66047,157882,114881,49370,2016
Baltimore,1310551,20143,80539,132718,177853,183938,88870,205425,49197,67303,141513,112632,50420,2013
Baltimore,1211828,22149,78325,123344,161316,173252,93047,202394,48463,61511,121829,83828,42370,2023
Baltimore,1336740,19079,79399,126755,172233,188625,92665,208716,52880,71998,145432,122725,56233,2018
Baltimore,1336611,18519,81233,122853,179845,185499,90028,219721,51302,71022,141410,117498,57681,2017
Baltimore,1314474,20649,83974,139485,165984,187335,84233,211904,46549,65585,150884,107996,49896,2015
Baltimore,1097176,21956,81266,125111,153805,166889,86061,162207,43851,51777,111384,68131,24738,2021
Baltimore,1316513,18732,76779,139729,174879,191550,89770,215017,50549,62313,141738,106797,48660,2014
Baltimore,1286794,21976,85923,134274,171405,192122,85558,212356,47615,61172,125435,100622,48336,2012
