Metro,Total,Year,Short Commutes - Less than half-hour,Medium Commutes - Half-hour to one hour,Long Commutes - More than one hour
Detroit,1763105,2012,60.14775,33.35672,6.49553
Detroit,1927519,2018,58.41737,33.92849,7.65414
Detroit,1708447,2011,60.21931,33.14648,6.63421
Houston,2738015,2012,53.7966,36.34319,9.86021
Houston,2625741,2010,55.82923,35.45327,8.7175
Houston,3177856,2023,51.22828,37.60343,11.16828
Houston,3068089,2022,50.51959,39.15737,10.32304
Houston,3013585,2015,50.17811,37.95483,11.86706
Houston,2834241,2013,53.19555,36.091,10.71345
Houston,2786418,2021,52.81871,38.24082,8.94047
Houston,3132202,2018,50.81074,38.11025,11.07901
Houston,2683111,2011,55.70526,35.57795,8.71678
Houston,3048882,2017,51.17496,37.72258,11.10246
Houston,2955305,2014,52.3123,36.6954,10.9923
Houston,3198759,2019,49.15688,39.46234,11.38079
Houston,3017233,2016,50.98565,37.79055,11.22379
Los Angeles,5388495,2023,52.17991,35.77448,12.04561
Los Angeles,5974755,2016,51.34902,35.37188,13.27911
Los Angeles,5818616,2014,53.43965,34.87156,11.68879
Los Angeles,5899773,2015,52.41071,35.11967,12.46962
Los Angeles,5250177,2022,54.02429,34.95315,11.02256
Los Angeles,5663516,2013,54.33999,33.99939,11.66062
Los Angeles,5392512,2010,56.17267,33.38418,10.44315
Los Angeles,5428907,2011,55.10839,33.8705,11.02111
Los Angeles,6077813,2018,49.68628,36.46101,13.85271
Los Angeles,5551323,2012,54.72141,33.97877,11.29983
Los Angeles,4773103,2021,55.05081,34.85225,10.09693
Los Angeles,6066040,2017,50.6235,35.75405,13.62245
Los Angeles,6114413,2019,49.99917,35.55249,14.44834
Miami,2740841,2017,51.081,38.32382,10.59518
Miami,2578324,2022,53.15662,37.00745,9.83592
Miami,2643227,2023,53.05693,36.51911,10.42396
Miami,2395786,2011,56.66015,35.66971,7.67013
Miami,2703405,2016,52.05861,37.22528,10.71612
Miami,2440654,2021,54.75438,36.74634,8.49928
Miami,2655983,2015,52.18979,37.78164,10.02857
Miami,2843985,2019,50.37256,38.53199,11.09545
Miami,2327054,2010,57.26855,35.03649,7.69497
Miami,2456010,2012,54.61753,37.24822,8.13425
Miami,2509362,2013,55.52356,36.44118,8.03527
Miami,2614254,2014,55.15126,35.88232,8.96642
Miami,2814512,2018,49.23713,39.50799,11.25488
Minneapolis,1430832,2021,69.19617,26.72194,4.08189
Minneapolis,1790878,2016,63.43849,31.02618,5.53533
Minneapolis,1836758,2018,62.69879,31.75416,5.54706
Minneapolis,1826361,2017,62.6662,31.5885,5.7453
Minneapolis,1559291,2022,67.63606,27.7167,4.64724
Minneapolis,1836359,2019,61.69845,32.28122,6.02034
Minneapolis,1618919,2023,68.00507,27.64919,4.34574
Minneapolis,1723294,2013,63.60215,30.89978,5.49808
Minneapolis,1585973,2010,64.25015,30.62404,5.12581
Minneapolis,1618675,2011,64.09267,30.71154,5.19579
Minneapolis,1657563,2012,64.7094,29.83669,5.45391
Minneapolis,1757506,2014,62.77549,31.36701,5.8575
Minneapolis,1779099,2015,62.69089,31.77254,5.53657
New York,8022549,2022,43.61895,35.87603,20.50502
New York,8296382,2011,44.64628,35.32839,20.02533
New York,7057098,2021,45.62564,36.15843,18.21593
New York,9033594,2019,39.96112,37.29574,22.74314
New York,8458242,2012,43.89806,36.03253,20.06941
New York,8888158,2013,43.67907,36.04356,20.27736
New York,9258386,2018,40.68135,36.69783,22.62082
New York,9082578,2014,42.92187,36.36296,20.71518
New York,9382250,2017,41.68197,35.81835,22.49968
New York,9186623,2015,42.64051,35.95209,21.4074
New York,8317168,2023,42.78182,36.6182,20.59998
New York,8249679,2010,44.97145,35.42926,19.5993
New York,9192943,2016,41.68475,36.47861,21.83664
Orlando,1087825,2016,53.86767,38.62358,7.50874
Orlando,1119577,2022,55.42567,36.17134,8.403
Orlando,950262,2011,59.48181,34.42608,6.09211
Orlando,1031896,2021,54.70774,37.08135,8.2109
Orlando,1200416,2019,50.10938,40.42774,9.46289
Orlando,966991,2012,58.69951,34.3299,6.97059
Orlando,991095,2013,57.61375,36.10391,6.28234
Orlando,1183801,2018,53.50215,38.71495,7.7829
Orlando,1008179,2014,55.8014,37.34138,6.85721
Orlando,1129969,2017,52.54233,39.67808,7.77959
Orlando,921988,2010,59.78809,34.37691,5.835
Orlando,1071243,2015,54.85039,38.24856,6.90105
Orlando,1167007,2023,52.83764,38.52967,8.63268
Philadelphia,2750522,2016,53.73046,34.64521,11.62434
Philadelphia,2836136,2019,52.16795,35.53433,12.29772
Philadelphia,2600131,2011,56.52992,33.03137,10.4387
Philadelphia,2761490,2015,54.17387,34.44054,11.38559
Philadelphia,2684735,2013,55.70442,33.82367,10.47191
Philadelphia,2604278,2023,54.54464,34.92135,10.53401
Philadelphia,2621007,2010,56.32305,33.3236,10.35335
Philadelphia,2287095,2021,57.69013,34.02176,8.28811
Philadelphia,2808466,2018,52.53341,35.58476,11.88182
Philadelphia,2629000,2012,56.33362,33.59038,10.076
Philadelphia,2761221,2017,52.81497,35.34697,11.83806
Philadelphia,2730097,2014,55.34118,33.79378,10.86504
Philadelphia,2544979,2022,56.19005,33.94154,9.86841
Phoenix,2100531,2018,60.4579,31.9423,7.59979
Phoenix,1788231,2013,60.93223,32.87679,6.19098
Phoenix,1920473,2015,60.80221,32.40577,6.79202
Phoenix,1671473,2010,59.9887,34.03674,5.97455
Phoenix,1771920,2012,60.31864,33.72246,5.9589
Phoenix,2156635,2019,57.74023,33.59627,8.6635
Phoenix,1787166,2021,62.55893,31.27577,6.16529
Phoenix,1712701,2011,60.4085,33.45961,6.13189
Phoenix,1913284,2022,61.25008,32.92088,5.82904
