Metro Area,Total,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Year
"Bloomsburg-Berwick, PA Micro Area",36342,1459,5360,7119,5724,5950,2221,3744,518,1622,1489,750,386,2010
"Bluefield, WV-VA Micro Area",34885,1860,5011,5345,4244,5308,1771,4054,1120,755,2294,1923,1200,2010
"Boise City-Nampa, ID Metro Area",252010,9905,28051,41765,41772,41279,17802,37854,4752,6970,12389,6519,2952,2010
"Boston-Cambridge-Quincy, MA-NH Metro Area",2166531,55117,176303,263845,258531,292058,135719,322821,75225,116856,232367,182178,55511,2010
"Boulder, CO Metro Area",134684,4459,15811,27559,20427,20272,9490,12818,3253,5687,8441,4689,1778,2010
"Bowling Green, KY Metro Area",53843,2166,5927,11194,11850,9813,2367,4517,870,759,2202,1330,848,2010
"Bozeman, MT Micro Area",42793,2636,8009,7404,7648,6392,2461,4598,789,143,1039,1118,556,2010
"Brainerd, MN Micro Area",35963,1628,5276,6545,5842,5302,2174,3945,719,963,1698,1054,817,2010
"Branson, MO Micro Area",30275,949,3678,3324,5012,4930,1647,3694,1898,920,2407,1460,356,2010
"Bremerton-Silverdale, WA Metro Area",107475,3116,9741,16666,15004,19253,5183,12351,2279,4244,4577,7836,7225,2010
"Bridgeport-Stamford-Norwalk, CT Metro Area",403275,9684,38928,59682,66194,59381,19172,48878,8754,12914,31692,29597,18399,2010
"Brownsville-Harlingen, TX Metro Area",135059,4437,15865,32723,26388,20413,7277,13054,3025,2049,5784,2647,1397,2010
"Brunswick, GA Metro Area",42302,1751,7147,6741,8476,6923,1578,4874,377,430,2353,837,815,2010
"Buffalo-Niagara Falls, NY Metro Area",501708,19280,53776,79787,89346,93479,42440,62732,13282,13979,18943,8358,6306,2010
"Burlington, NC Metro Area",62919,1778,7085,12157,11360,9459,2996,7688,1757,1513,3646,2319,1161,2010
"Burlington-South Burlington, VT Metro Area",104450,4595,12751,17598,18464,15123,7026,12219,3164,3876,5633,3229,772,2010
"Canton-Massillon, OH Metro Area",169266,6993,21763,31839,26761,29927,9872,16112,4486,4628,9094,4523,3268,2010
"Cape Coral-Fort Myers, FL Metro Area",213500,4122,17847,26929,36920,34853,13191,40528,5674,7546,14108,6932,4850,2010
"Cape Girardeau-Jackson, MO-IL Metro Area",43124,1945,7910,9144,6399,5864,2219,3764,1280,657,2316,734,892,2010
"Carson City, NV Metro Area",22162,2460,5240,6454,2178,1587,425,818,686,898,1232,112,72,2010
"Casper, WY Metro Area",37620,1534,5709,9619,10613,5267,773,1677,162,187,786,355,938,2010
"Cedar Rapids, IA Metro Area",127032,5186,16352,25189,24776,20697,7516,10621,3256,3656,5985,2196,1602,2010
"Centralia, WA Micro Area",26155,1084,3807,4806,4077,3399,1039,2176,463,1072,1401,817,2014,2010
"Chambersburg, PA Micro Area",63956,3536,6855,11475,11848,9139,3483,6384,1363,1932,4059,2408,1474,2010
"Champaign-Urbana, IL Metro Area",103839,3694,14571,25885,24086,12855,5498,7946,1724,1541,2759,2011,1269,2010
"Charleston, WV Metro Area",123712,4819,12583,17562,19034,17615,10539,16164,4753,3916,7091,7019,2617,2010
"Charleston-North Charleston-Summerville, SC Metro Area",296384,6193,24433,41511,45288,52627,25428,46842,6567,8525,22488,11971,4511,2010
"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",757128,15373,61827,99769,114598,129415,53072,129548,27430,29207,56937,24914,15038,2010
"Charlottesville, VA Metro Area",86618,1826,9576,11629,17006,13771,5876,13802,2495,1779,4247,2657,1954,2010
"Chattanooga, TN-GA Metro Area",224925,5424,20978,34496,39455,43538,17459,31374,4946,6214,12795,4346,3900,2010
"Cheyenne, WY Metro Area",43617,2002,6898,13872,9945,5092,1013,2388,128,200,509,1145,425,2010
"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",4096292,74881,301124,445557,486546,528457,230058,646466,134147,227219,485038,409173,127626,2010
"Chico, CA Metro Area",79372,3882,15444,17745,13219,8104,4365,7255,1230,1792,2397,1748,2191,2010
"Chillicothe, OH Micro Area",25658,1159,2929,4363,3745,2942,1852,2558,692,613,2532,1469,804,2010
"Cincinnati-Middletown, OH-KY-IN Metro Area",938248,22702,81570,123926,148497,164473,79119,140007,33425,40283,59650,31385,13211,2010
"Clarksburg, WV Micro Area",34376,1987,3675,5534,5554,4173,2493,3637,952,1368,2124,1374,1505,2010
"Clarksville, TN-KY Metro Area",106311,3587,11394,16646,19918,15896,7790,13398,2174,3008,6581,4235,1684,2010
"Clearlake, CA Micro Area",17696,1499,2273,3074,1455,2429,720,1769,168,509,1347,2180,273,2010
"Cleveland, TN Metro Area",44856,1918,5533,9758,7942,5905,1553,5039,886,935,3257,1291,839,2010
"Cleveland-Elyria-Mentor, OH Metro Area",898872,20376,77348,119687,138848,150606,77243,141053,31496,38572,61767,29540,12336,2010
"Coamo, PR Micro Area",18936,252,1934,2097,3143,2923,1209,3475,644,1152,789,827,491,2010
"Coeur d'Alene, ID Metro Area",53883,1344,8638,9668,10058,8240,3125,5514,762,1407,2843,1742,542,2010
"College Station-Bryan, TX Metro Area",97788,4362,14968,23665,23331,12070,3109,5629,1115,1731,3103,1851,2854,2010
"Colorado Springs, CO Metro Area",287669,11757,31876,46439,52795,52256,18723,36575,5549,6589,12775,7328,5007,2010
"Columbia, MO Metro Area",81340,3959,8334,17539,19613,12672,4243,7323,1534,2136,2311,882,794,2010
"Columbia, SC Metro Area",332627,5674,37260,45774,60754,56253,22962,52821,8925,10333,17628,8315,5928,2010
"Columbia, TN Micro Area",33266,586,3776,5336,4329,4707,1718,4572,454,1465,3621,2034,668,2010
"Columbus, GA-AL Metro Area",113664,2536,12317,17788,23295,22209,9347,13919,2321,1571,4385,2120,1856,2010
"Columbus, IN Metro Area",34622,1497,5150,7450,5928,5055,2121,2088,259,726,1364,2325,659,2010
"Columbus, OH Metro Area",829935,24403,76330,113317,140317,157602,74497,117075,22591,29104,43509,22824,8366,2010
"Concord, NH Micro Area",70981,3798,6696,9636,10285,11935,4862,8926,2662,2191,4288,3769,1933,2010
"Cookeville, TN Micro Area",42698,1196,3361,7217,7070,7427,1331,6772,1988,460,3205,1283,1388,2010
"Coos Bay, OR Micro Area",22947,1334,4123,5736,3304,1222,889,3875,170,384,961,571,378,2010
"Corning, NY Micro Area",40997,3281,7177,7733,4929,5356,1893,4177,751,1066,2453,1417,764,2010
"Corpus Christi, TX Metro Area",177045,8147,26275,36666,39734,24173,7139,17537,1674,2852,5249,4966,2633,2010
