Metro Area,Total,Year,No Commute,Yes Commute (more than 5 minutes),Short Commutes - Less than half-hour,Medium Commutes - Half-hour to one hour,Long Commutes - More than one hour,No Commute (%),Yes Commute (more than 5 minutes) (%),Short Commutes - Less than half-hour (%),Medium Commutes - Half-hour to one hour (%),Long Commutes - More than one hour (%)
Chicago,4375761,2015,69059,4306702,2064627,1611060,631015,1.57822,98.42178,47.93986,37.40821,14.65193
Chicago,4407706,2016,70339,4337367,2062269,1654807,620291,1.59582,98.40418,47.54656,38.15234,14.3011
Chicago,3595239,2021,72877,3522362,1859324,1299644,363394,2.02704,97.97296,52.78628,36.89695,10.31677
Chicago,4333467,2014,73564,4259903,2046866,1604252,608785,1.69758,98.30242,48.04959,37.65936,14.29105
Chicago,4455102,2018,71920,4383182,2057845,1679528,645809,1.61433,98.38567,46.94866,38.31755,14.73379
Chicago,4415454,2017,68183,4347271,2062684,1662758,621829,1.54419,98.45581,47.44779,38.24832,14.30389
Chicago,4227545,2012,76833,4150712,2068032,1539525,543155,1.81744,98.18256,49.82355,37.09062,13.08583
Cincinnati,944592,2011,20459,924133,598525,284248,41360,2.16591,97.83409,64.76611,30.75834,4.47555
Cincinnati,938248,2010,22702,915546,597585,273365,44596,2.41962,97.58038,65.27089,29.85814,4.87097
Cincinnati,970037,2012,23638,946399,615161,285156,46082,2.43681,97.56319,65.00017,30.13063,4.86919
"Cincinnati,",1019187,2017,24989,994198,626731,316334,51133,2.45186,97.54814,63.03885,31.81801,5.14314
"Cincinnati,",986894,2015,22824,964070,611753,305199,47118,2.31271,97.68729,63.45525,31.65735,4.8874
"Cincinnati,",959979,2013,25128,934851,601981,287684,45186,2.61756,97.38244,64.39326,30.77325,4.8335
"Cincinnati,",993295,2016,21001,972294,626325,296608,49361,2.11428,97.88572,64.41724,30.506,5.07676
"Cincinnati,",1025276,2018,22315,1002961,634987,320806,47168,2.17649,97.82351,63.31124,31.98589,4.70287
"Cincinnati,",977775,2014,22619,955156,611479,296314,47363,2.31331,97.68669,64.01876,31.02258,4.95867
"Cincinnati,",987630,2023,26241,961389,626658,292506,42225,2.65697,97.34303,65.18256,30.42535,4.39208
"Cincinnati,",1047994,2019,22944,1025050,627110,335233,62707,2.18933,97.81067,61.17848,32.70406,6.11746
"Cincinnati,",961388,2022,22022,939366,590242,300770,48354,2.29065,97.70935,62.83408,32.0184,5.14751
"Cincinnati,",903252,2021,24717,878535,584019,253455,41061,2.73645,97.26355,66.47646,28.84973,4.6738
Cleveland,937946,2019,26412,911534,580087,287456,43991,2.81594,97.18406,63.63855,31.53541,4.82604
Cleveland,898872,2010,20376,878496,563732,272888,41876,2.26684,97.73316,64.17013,31.06309,4.76678
Cleveland,925908,2014,21309,904599,568969,293185,42445,2.30142,97.69858,62.89737,32.41049,4.69213
Cleveland,923769,2015,20182,903587,577549,280631,45407,2.18475,97.81525,63.91736,31.05744,5.02519
Cleveland,914727,2013,20184,894543,567894,282940,43709,2.20656,97.79344,63.48426,31.62956,4.88618
Cleveland,929189,2016,26512,902677,570592,286042,46043,2.85324,97.14676,63.21109,31.68819,5.10072
Cleveland,847264,2022,22313,824951,551253,236452,37246,2.63354,97.36646,66.82251,28.66255,4.51493
Cleveland,899546,2011,21930,877616,567013,270263,40340,2.4379,97.5621,64.60833,30.79513,4.59654
Cleveland,930350,2017,23596,906754,589433,276053,41268,2.53625,97.46375,65.00473,30.44409,4.55118
Cleveland,943935,2018,26825,917110,592415,281446,43249,2.84183,97.15817,64.59585,30.68836,4.71579
Cleveland,900429,2012,23242,877187,561917,272499,42771,2.58121,97.41879,64.05897,31.0651,4.87593
Cleveland,820960,2021,24560,796400,524154,239450,32796,2.99162,97.00838,65.81542,30.06655,4.11803
Dallas,3036252,2021,57989,2978263,1688699,1065892,223672,1.90989,98.09011,56.7008,35.78905,7.51015
Dallas,3449185,2017,59065,3390120,1810928,1254554,324638,1.71243,98.28757,53.41781,37.00618,9.576
Dallas,2918497,2011,58771,2859726,1641704,1001893,216129,2.01374,97.98626,57.40774,35.03458,7.55768
Dallas,3112015,2013,58981,3053034,1719253,1083485,250296,1.89527,98.10473,56.31293,35.4888,8.19827
Dallas,3555123,2019,52979,3502144,1894801,1277251,330092,1.49022,98.50978,54.10403,36.47054,9.42543
Dallas,2863105,2010,61451,2801654,1608942,986792,205920,2.14631,97.85369,57.42829,35.22177,7.34994
Dallas,3279183,2015,57746,3221437,1772468,1162881,286088,1.76099,98.23901,55.02104,36.09821,8.88076
Dallas,3487458,2023,71738,3415720,1858630,1236770,320320,2.05703,97.94297,54.414,36.20818,9.37782
Dallas,3199821,2014,60093,3139728,1761035,1122475,256218,1.87801,98.12199,56.08878,35.75071,8.16052
Dallas,3335688,2022,72885,3262803,1824725,1168399,269679,2.18501,97.81499,55.92507,35.80967,8.26526
Dallas,3002472,2012,58967,2943505,1662892,1051804,228809,1.96395,98.03605,56.4936,35.73305,7.77335
Dallas,3356103,2016,59746,3296357,1772711,1212333,311313,1.78022,98.21978,53.77788,36.77796,9.44415
Dallas,3540707,2018,59809,3480898,1890364,1279215,311319,1.68918,98.31082,54.30679,36.74957,8.94364
Denver,1365572,2015,24910,1340662,751487,482316,106859,1.82414,98.17586,56.05343,35.97596,7.97061
Denver,1429043,2017,21629,1407414,772949,522638,111827,1.51353,98.48647,54.9198,37.13463,7.94557
Denver,1341293,2014,24822,1316471,736482,477599,102390,1.8506,98.1494,55.94366,36.27873,7.77761
Denver,1277225,2022,18247,1258978,731669,445135,82174,1.42864,98.57136,58.11611,35.35685,6.52704
Denver,1249014,2012,25401,1223613,710061,429292,84260,2.03368,97.96632,58.02987,35.08397,6.88616
Denver,1391598,2016,25072,1366526,769084,497243,100199,1.80167,98.19833,56.28023,36.38738,7.33239
Denver,1163472,2021,24635,1138837,665156,399631,74050,2.11737,97.88263,58.4066,35.09115,6.50225
Denver,1466746,2018,23624,1443122,787604,547737,107781,1.61064,98.38936,54.5764,37.955,7.4686
Denver,1310265,2023,26276,1283989,730894,463477,89618,2.0054,97.9946,56.9237,36.09665,6.97965
Denver,1178595,2010,20258,1158337,678180,407438,72719,1.71883,98.28117,58.54773,35.17439,6.27788
Denver,1472724,2019,19106,1453618,772946,559958,120714,1.29732,98.70268,53.17394,38.52167,8.30438
Denver,1266595,2013,21884,1244711,717594,437127,89990,1.72778,98.27222,57.65145,35.11875,7.22979
Denver,1223180,2011,25214,1197966,702582,409995,85389,2.06135,97.93865,58.64791,34.22426,7.12783
Detroit,1713101,2022,40008,1673093,1020925,547591,104577,2.33541,97.66459,61.02022,32.72926,6.25052
Detroit,1783524,2023,38681,1744843,1049129,576598,119116,2.1688,97.8312,60.12742,33.04584,6.82675
Detroit,1856289,2015,33663,1822626,1069499,627183,125944,1.81346,98.18654,58.67902,34.41095,6.91003
