Metro Area,Total,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Year
Chicago,4375761,69059,298515,428487,524941,542093,270591,665420,161150,251054,533436,471036,159979,2015
Chicago,4227545,76833,312163,475151,482309,545763,252646,665708,147663,235465,490689,411944,131211,2012
Chicago,4459381,67142,285858,424440,523523,530000,283651,696937,180938,258265,565856,487570,155201,2019
Chicago,4415454,68183,290484,443085,511054,542092,275969,682252,170348,255834,554324,479912,141917,2017
Chicago,4455102,71920,291358,445828,500857,541966,277836,690935,179694,255787,553112,486525,159284,2018
Chicago,4143034,74289,296146,442803,488242,532634,241449,641409,144959,244393,480144,416633,139933,2011
Chicago,3978255,79175,285384,412476,475710,506765,279978,585982,162605,222011,482025,366596,119548,2023
Chicago,4279656,79258,304771,448423,514942,547305,259309,652897,159775,243676,511233,426572,131495,2013
Chicago,4096292,74881,301124,445557,486546,528457,230058,646466,134147,227219,485038,409173,127626,2010
Chicago,4333467,73564,307237,442498,500089,542819,254223,675764,154850,246179,527459,461715,147070,2014
Dallas,3540707,59809,239235,405588,487602,512095,245844,597441,139265,173842,368667,233457,77862,2018
Dallas,3112015,58981,241245,376280,445923,444906,210899,525926,101036,139656,316867,191046,59250,2013
Dallas,3487458,71738,260635,382128,474498,491748,249621,576165,127071,164637,368897,248442,71878,2023
Dallas,2863105,61451,226403,357197,416351,414572,194419,494886,96693,130510,264703,156364,49556,2010
Dallas,3199821,60093,243370,375548,458978,471185,211954,537407,106987,137550,340531,197828,58390,2014
Dallas,3449185,59065,233459,369635,470173,493358,244303,587972,124071,169815,372696,258372,66266,2017
Dallas,3279183,57746,247412,380565,461402,476865,206224,543315,113778,160638,345150,213640,72448,2015
Dallas,2918497,58771,238660,353315,421845,450993,176891,507688,95706,121195,277304,167578,48551,2011
Dallas,3036252,57989,212993,360562,449660,454680,210804,518583,118333,142309,286667,167011,56661,2021
Dallas,3002472,58967,234799,368233,430904,433848,195108,525886,99888,131749,294281,169882,58927,2012
Dallas,3335688,72885,229198,375880,480214,486798,252635,547273,125538,153352,342236,208284,61395,2022
Dallas,3555123,52979,234563,401282,482442,521412,255102,610207,135367,164888,366789,256185,73907,2019
Dallas,3356103,59746,232360,377196,454958,489946,218251,582274,121274,159673,349112,237221,74092,2016
Denver,1391598,25072,92467,145807,204190,219149,107471,244075,52391,64464,136313,78115,22084,2016
Denver,1223180,25214,87394,143585,185323,198224,88056,210963,37321,61941,99770,63100,22289,2011
Denver,1429043,21629,92794,152210,199687,224993,103265,247153,61103,69594,144788,85494,26333,2017
Denver,1163472,24635,82754,130171,177507,182274,92450,209525,44051,50867,95188,52210,21840,2021
Denver,1341293,24822,93327,150464,187663,205165,99863,230463,54477,64624,128035,77310,25080,2014
Denver,1472724,19106,87122,155386,199748,217582,113108,255377,70345,81216,153020,89534,31180,2019
Denver,1178595,20258,83808,139502,174656,189289,90925,207206,40714,53997,105521,51458,21261,2010
Denver,1466746,23624,90025,154981,212419,222811,107368,253125,64060,69460,161092,81336,26445,2018
Denver,1365572,24910,90628,143510,203951,211351,102047,223364,54779,68752,135421,80567,26292,2015
Denver,1249014,25401,89781,142818,179233,205548,92681,215994,43401,60213,109684,59528,24732,2012
Denver,1310265,26276,96707,137977,182200,205659,108351,224731,55869,59620,123257,64421,25197,2023
Denver,1277225,18247,93098,138517,191308,203018,105728,221175,53365,60805,109790,61327,20847,2022
Denver,1266595,21884,90160,141109,185578,206443,94304,212049,46476,63345,115257,63905,26085,2013
Detroit,1713101,40008,140882,213866,255041,267580,143556,259024,70366,75286,142915,73513,31064,2022
Detroit,1838763,35716,141151,217066,268225,288781,133795,273814,74112,92019,177158,104194,32732,2014
Detroit,1585164,38977,134490,190132,241924,252212,128207,246632,70774,66500,129875,60976,24465,2021
Detroit,1902261,35999,142262,231442,277617,290946,154985,285857,71184,99722,177472,106583,28192,2017
Detroit,1799262,36879,146779,216886,269945,278468,141880,272420,75262,83679,159540,82435,35089,2013
Detroit,1783524,38681,141198,218669,260435,271516,157311,263147,79832,82644,150975,88355,30761,2023
Detroit,1952256,35592,140387,218892,279854,297527,161920,308394,82908,93172,183804,113687,36119,2019
Detroit,1683119,35187,134773,211427,242800,266413,129412,269706,64537,72468,146919,82829,26648,2010
Detroit,1856289,33663,143713,225075,280841,285991,133879,281157,72791,93057,180178,95480,30464,2015
Detroit,1892466,30120,141072,228882,288306,280196,141596,287756,74952,100199,183152,102877,33358,2016
Detroit,1763105,38467,139967,215553,264656,275687,126138,281040,65850,84747,156477,86133,28390,2012
Detroit,1927519,33062,135582,228813,278605,299052,150892,301891,74561,97639,179887,113131,34404,2018
Detroit,1708447,34214,134971,214549,249345,272024,123712,263827,64796,87816,149851,82315,31027,2011
Houston,2738015,52318,187955,304454,372863,393341,162028,488722,88128,127514,290718,209946,60028,2012
Houston,2625741,49059,177366,296905,384291,399364,158946,473144,78943,110253,268571,179436,49463,2010
Houston,3177856,52566,190193,313538,420888,426026,224750,526858,133623,163789,370713,269374,85538,2023
Houston,3068089,54752,183025,269158,415346,423340,204365,579788,124514,154365,342716,237075,79645,2022
Houston,3013585,47220,191889,324237,391401,398305,159108,558720,95160,137841,352080,280232,77392,2015
Houston,2834241,49080,188240,305663,393492,404465,166750,491911,89581,126389,315025,238870,64775,2013
Houston,2786418,54297,167018,278997,361395,417156,192887,497344,109521,146330,312354,186886,62233,2021
Houston,3132202,38428,198108,308334,416598,430949,199078,557179,119188,154156,363167,275973,71044,2018
Houston,2683111,53724,180504,299143,376783,415402,169078,484109,82937,120985,266565,183239,50642,2011
Houston,3048882,42265,187051,317895,410812,415199,187042,533930,111726,150201,354260,266198,72303,2017
Houston,2955305,52802,197049,317139,393597,414945,170456,524390,99499,133974,326598,257673,67183,2014
Houston,3198759,42584,194220,302604,415806,423066,194130,571691,125701,178953,385960,281166,82878,2019
Houston,3017233,48884,193728,311777,401032,397600,185335,517355,117388,154474,351012,260599,78049,2016
Los Angeles,5388495,75464,308925,547798,742304,804328,332893,938811,166490,286464,535941,465045,184032,2023
Los Angeles,5974755,67278,346497,649882,824214,840732,339375,1045976,166225,299303,601879,571697,221697,2016
Los Angeles,5818616,75169,374133,658397,830088,834561,337100,1024047,161770,286945,556280,503464,176662,2014
Los Angeles,5899773,72742,359912,653047,827885,853055,325472,1036409,155041,280590,599941,537179,198500,2015
Los Angeles,5250177,79040,315884,579580,751955,773272,336640,917886,171346,251777,494093,422316,156388,2022
Los Angeles,5663516,80239,365721,660711,810378,840264,320241,979170,151969,267377,527045,484049,176352,2013
Los Angeles,5392512,80026,375728,664109,789907,825003,294345,920529,152799,243118,483800,417837,145311,2010
Los Angeles,5428907,80029,383040,663072,765006,811209,289427,959397,140327,250100,488974,433597,164729,2011
Los Angeles,6077813,67321,346108,615900,825328,818431,346751,1099206,181912,315316,619598,605667,236275,2018
Los Angeles,5551323,72107,372041,652715,807168,823755,309976,986123,139073,259640,501435,458883,168407,2012
Los Angeles,4773103,73685,293451,540879,697894,716727,304996,879566,139800,229659,414509,358125,123812,2021
Los Angeles,6066040,73254,348989,644690,835886,829377,338646,1078653,164222,303091,622889,608242,218101,2017
Los Angeles,6114413,73272,325043,638815,831751,835479,352796,1047844,188346,309209,628427,628913,254518,2019
Miami,2740841,33041,146878,262557,346024,418490,193059,524426,100629,137592,287748,218663,71734,2017
Miami,2578324,42451,136121,250057,341197,415760,184964,467367,93651,129586,263568,180732,72870,2022
Miami,2643227,33146,145581,270300,359053,409680,184655,463589,92636,142474,266584,212136,63393,2023
Miami,2395786,36366,149178,269378,327672,401468,173394,451196,77535,118080,207759,136906,46854,2011
Miami,2703405,28967,140624,282260,346702,428020,180782,518899,90273,125149,272029,217207,72493,2016
Miami,2440654,38007,134829,250523,327450,408420,177136,448898,91507,120504,235942,155452,51986,2021
Miami,2655983,32456,146051,261598,357036,414837,174174,524925,85746,120710,272093,200700,65657,2015
Miami,2843985,36822,150502,265118,353223,436862,190061,553637,105384,152829,283994,235227,80326,2019
Miami,2327054,39508,146387,273917,327529,391047,154282,432197,82920,101303,198898,135735,43331,2010
Miami,2456010,33366,143050,271458,337186,404421,151931,483033,89618,118222,223947,148830,50948,2012
Miami,2509362,40746,146469,277409,350593,408587,169483,478558,85819,121202,228862,150483,51151,2013
Miami,2614254,35578,151772,283020,357366,430669,183389,489110,83236,116913,248796,180419,53986,2014
Miami,2814512,34811,137441,255270,357051,413805,187407,563998,98903,155342,293714,238322,78448,2018
Minneapolis,1430832,41864,139825,191477,246247,246211,124457,196843,48635,55594,81274,39831,18574,2021
Minneapolis,1790878,37547,161804,214699,273176,296221,152659,263078,68424,84924,139215,74784,24347,2016
Minneapolis,1836758,31649,156667,229439,270370,300189,163311,267947,77520,90621,147159,76384,25502,2018
Minneapolis,1826361,33577,149306,219149,282244,305344,154891,273977,69318,84603,149022,79490,25440,2017
Minneapolis,1559291,39245,136406,212830,267336,263572,135254,217669,57405,60281,96829,51379,21085,2022
Minneapolis,1836359,33447,146531,222119,274332,290316,166260,275265,77819,86485,153230,82262,28293,2019
Minneapolis,1618919,41613,143245,214494,287686,267583,146326,217943,64472,56929,108274,50318,20036,2023
Minneapolis,1723294,39524,147110,218998,263954,281588,144878,253711,64682,73222,140879,71514,23234,2013
Minneapolis,1585973,35777,141831,205717,244497,262210,128958,237054,54981,72626,121028,60804,20490,2010
Minneapolis,1618675,36194,136562,210423,251026,271163,132084,247631,54072,74060,121357,63783,20320,2011
Minneapolis,1657563,37625,138314,214065,255972,285706,140917,245944,58065,68530,122023,67846,22556,2012
Minneapolis,1757506,39482,143309,217552,269778,288803,144359,259783,66405,81669,143420,79855,23091,2014
Minneapolis,1779099,35355,149827,219780,270849,291743,147779,271278,67984,83351,142652,74700,23801,2015
New York,8022549,161871,436522,707695,831295,911975,449994,1145948,282164,468863,981197,1137428,507597,2022
New York,8296382,151029,503959,794567,858284,983325,412862,1284613,236402,454635,955328,1160752,500626,2011
New York,7057098,146018,418439,645439,784090,827424,398436,1077927,239679,382742,851388,903744,381772,2021
New York,9033594,123125,456870,722827,880863,945438,480802,1336645,294956,538739,1198806,1396224,658299,2019
New York,8458242,143520,499064,791299,867042,996884,415195,1292252,250557,479502,1025408,1183308,514211,2012
New York,8888158,146827,524694,814607,931116,1011843,453178,1318813,279737,504379,1100680,1252070,550214,2013
New York,9258386,134606,486412,761391,885033,1008157,490837,1366487,308057,543607,1179476,1404013,690310,2018
New York,9082578,158267,523803,812224,937932,1024975,441211,1350709,285184,528311,1138490,1286900,594572,2014
New York,9382250,143258,499222,824077,929308,1043093,471749,1373503,296040,538243,1152781,1442297,668679,2017
New York,9186623,136305,522686,825912,924371,1043193,464756,1362441,285846,529406,1125090,1341609,625008,2015
New York,8317168,149145,464621,705036,846024,913163,480247,1215192,294897,487967,1047541,1188026,525309,2023
New York,8249679,143014,509844,802839,863718,987841,402744,1250212,239805,448536,984247,1145454,471425,2010
New York,9192943,133681,509561,800100,911813,1008325,468575,1363909,287604,544904,1157041,1379748,627682,2016
Orlando,1087825,13936,63229,109971,149150,156796,92904,201929,51296,51153,115779,57068,24614,2016
Orlando,1119577,18920,61771,130555,147619,166732,94936,201873,47841,48539,106713,68223,25855,2022
Orlando,950262,13589,57862,116025,151542,157593,68622,154786,35196,41619,95537,38600,19291,2011
Orlando,1031896,14413,66094,103631,147658,156669,76062,181787,43604,59965,97285,64961,19767,2021
Orlando,1200416,14664,65072,114177,156223,163423,87962,226525,54775,67927,136074,83109,30485,2019
Orlando,966991,11510,59617,115562,147737,154698,78495,164348,34089,41490,92040,48133,19272,2012
Orlando,991095,14218,53421,123182,149913,155978,74295,184488,35010,48850,89476,42318,19946,2013
Orlando,1183801,22253,63922,118011,150983,188887,89303,198107,57091,61818,141292,66043,26091,2018
Orlando,1008179,11511,63909,107120,145758,156617,77663,182559,42979,49415,101515,47111,22022,2014
Orlando,1129969,15793,64353,100773,147889,176905,87999,209447,46933,62591,129379,60413,27494,2017
Orlando,921988,13393,60775,111868,146597,150807,67799,159306,33371,38127,86147,38114,15684,2010
Orlando,1071243,12288,69360,111021,145305,173964,75643,204076,42549,54997,108113,50617,23310,2015
Orlando,1167007,13865,65002,113073,151363,170604,102712,210946,54538,67576,116584,72817,27927,2023
Philadelphia,2750522,54943,203121,305065,344765,383288,186686,406511,99199,150370,296844,233600,86130,2016
Philadelphia,2836136,60159,197872,302657,359328,356526,203012,421127,106412,157430,322833,249147,99633,2019
Philadelphia,2600131,59740,210648,310634,357815,377281,153734,376980,85742,129673,266464,197302,74118,2011
Philadelphia,2761490,61510,202770,328391,342205,383779,177351,416573,102141,134702,297656,225949,88463,2015
Philadelphia,2684735,60042,205852,310394,368176,383001,168051,405414,92674,132436,277552,207359,73784,2013
Philadelphia,2604278,55782,202803,278398,342318,347520,193673,398289,105234,137631,268295,201848,72487,2023
Philadelphia,2621007,58214,209181,318235,361811,364906,163884,386010,89285,125492,272627,195236,76126,2010
Philadelphia,2287095,60682,186990,262456,330392,312969,165939,351449,82430,111606,232625,135898,53659,2021
Philadelphia,2808466,50923,204174,296580,359895,377678,186133,425550,108460,145568,319808,238622,95075,2018
Philadelphia,2629000,62516,205064,322805,354376,372262,163988,391962,83592,127156,280381,189731,75167,2012
Philadelphia,2761221,53545,195164,288131,352434,383041,186023,420929,99379,152411,303289,237391,89484,2017
Philadelphia,2730097,60951,210051,323148,361170,375492,180056,398815,100740,136001,287047,213783,82843,2014
Philadelphia,2544979,57404,196148,290038,356878,341927,187630,377365,98179,133134,255127,185097,66052,2022
Phoenix,2100531,39431,166262,252717,308878,340187,162462,308226,74606,102781,185345,119493,40143,2018
Phoenix,1788231,37586,141443,225472,260540,287984,136584,290114,54276,83826,159697,84362,26347,2013
Phoenix,1920473,37718,154558,230738,287539,308122,149015,301567,62782,89879,168116,98410,32029,2015
Phoenix,1671473,34271,137819,208432,247447,256381,118345,292384,54770,82793,138968,75238,24625,2010
Phoenix,1771920,36884,134013,228190,257825,286865,125021,302418,55042,86187,153888,78675,26912,2012
Phoenix,2156635,41306,165048,231093,296430,333192,178177,337440,80574,98935,207600,140311,46529,2019
Phoenix,1787166,49067,148277,219900,255810,301080,143898,271955,64683,75734,146578,80373,29811,2021
Phoenix,1712701,33006,138686,211935,254372,271992,124626,289667,64902,78577,139917,77386,27635,2011
Phoenix,1913284,43643,151708,227018,279629,305180,164710,310478,66330,85695,167367,83622,27904,2022
Phoenix,1850458,36341,152752,235655,277282,298969,140107,298737,60658,86860,158582,80157,24358,2014
Phoenix,2035158,37765,159121,236830,293695,315366,168888,325617,70925,97104,181117,112104,36626,2017
Phoenix,2004889,45898,153673,224050,291892,322328,166618,314626,76721,90429,181773,99551,37330,2023
Phoenix,1969362,45085,159846,234208,292961,314869,145780,302463,66087,86089,172047,114368,35559,2016
"Pittsburgh,",1046303,32638,101184,135657,154155,157670,69622,139467,36038,46018,94414,59239,20201,2011
"Pittsburgh,",889849,26024,87124,108007,138448,131469,69411,120706,31878,41562,75378,42947,16895,2021
"Pittsburgh,",1078307,30810,97422,134381,156768,154871,78845,152030,37680,48098,100611,64587,22204,2015
"Pittsburgh,",1078091,28933,99659,142833,155807,152522,77267,144147,38197,50660,103853,63486,20727,2014
"Pittsburgh,",1085621,29184,103738,132601,156720,146230,81051,148033,41225,56377,103502,65787,21173,2018
"Pittsburgh,",1018500,29707,95216,131629,151815,143044,82780,142706,43576,45778,83044,48981,20224,2023
"Pittsburgh,",1082263,29742,95478,136924,152369,149779,72465,153822,44172,52832,103275,68177,23228,2017
"Pittsburgh,",1076505,30328,102295,141133,155902,158283,72436,150602,36059,51413,97975,60760,19319,2013
"Pittsburgh,",956275,29627,89192,118984,140345,135598,73069,135381,41373,38493,85385,50040,18788,2022
"Pittsburgh,",1077328,31334,100151,136450,151423,148916,76041,148874,44216,52649,101163,64914,21197,2016
"Pittsburgh,",1075791,28109,94498,136230,142263,146096,79364,156176,42916,53119,104711,68571,23738,2019
"Pittsburgh,",1074950,33502,98418,145154,148691,158366,73335,150909,34033,50764,94300,64940,22538,2012
"Pittsburgh,",1041694,35848,104527,138987,149750,153455,65786,140980,34861,47456,91522,57805,20717,2010
Riverside,1752109,29548,138987,217069,243229,230043,83465,237761,48071,69182,143954,180772,130028,2016
Riverside,1881728,31138,137774,212444,264731,241442,104427,265803,52182,80967,157283,200114,133423,2023
Riverside,1883477,30730,135310,220133,252099,253355,94325,251199,50238,82324,166554,208483,138727,2019
Riverside,1694146,37601,122905,202579,236404,212925,102253,230518,43395,71078,155484,173964,105040,2021
Riverside,1581538,35352,127556,211113,222555,210626,82688,199646,37255,54774,141366,167266,91341,2012
