Metro Area,Total,Year,No Commute,Yes Commute (more than 5 minutes),Short Commutes - Less than half-hour,Medium Commutes - Half-hour to one hour,Long Commutes - More than one hour
Atlanta,2232939,2010,38502,2194437,1116005,814521,263911
Atlanta,2715426,2018,32705,2682721,1261517,1032286,388918
Atlanta,2588713,2023,44118,2544595,1225249,986755,332591
Atlanta,2533900,2015,40298,2493602,1235801,922041,335760
Atlanta,2264984,2011,38588,2226396,1109374,841960,275062
Atlanta,2660218,2017,36748,2623470,1248534,988437,386499
Atlanta,2486837,2022,40882,2445955,1211063,940079,294813
Atlanta,2444559,2014,37628,2406931,1208018,887947,310966
Atlanta,2369931,2013,41686,2328245,1208008,848754,271483
Atlanta,2270521,2021,38560,2231961,1157947,853597,220417
Atlanta,2297995,2012,39716,2258279,1156437,855032,246810
Atlanta,2715402,2019,39919,2675483,1265919,1024857,384707
Atlanta,2598113,2016,36089,2562024,1232665,952650,376709
Austin,893212,2013,20515,872697,521548,285908,65241
Austin,1023148,2023,24217,998931,566233,356646,76052
Austin,785623,2010,18123,767500,482507,236002,48991
Austin,1049865,2018,18777,1031088,588301,359601,83186
Austin,964960,2022,24420,940540,560540,313229,66771
Austin,955039,2015,18119,936920,561283,306493,69144
Austin,986568,2016,23598,962970,561906,320975,80089
Austin,1078106,2019,20190,1057916,602408,362172,93336
Austin,856005,2021,19773,836232,498599,279472,58161
Austin,1016302,2017,19743,996559,582131,337184,77244
Austin,918383,2014,17985,900398,539957,289165,71276
Austin,852934,2012,23141,829793,506426,268059,55308
Austin,813089,2011,17256,795833,491266,247359,57208
Baltimore,1338289,2016,17165,1321124,677716,479157,164251
Baltimore,1310551,2013,20143,1290408,663918,463438,163052
Baltimore,1211828,2023,22149,1189679,629284,434197,126198
Baltimore,1336740,2018,19079,1317661,659677,479026,178958
Baltimore,1336611,2017,18519,1318092,659458,483455,175179
Baltimore,1314474,2015,20649,1293825,661011,474922,157892
Baltimore,1097176,2021,21956,1075220,613132,369219,92869
Baltimore,1316513,2014,18732,1297781,672707,469617,155457
Baltimore,1286794,2012,21976,1264818,669282,446578,148958
Baltimore,1335323,2019,21071,1314252,648986,487476,177790
Baltimore,1258272,2010,22742,1235530,657149,427045,151336
Baltimore,1262209,2011,19468,1242741,646917,444494,151330
Baltimore,1186643,2022,17367,1169276,643221,409474,116581
"Birmingham,",491303,2023,11735,479568,273260,169681,36627
Boston,2194464,2011,53296,2141168,1118655,764073,258440
Boston,2434948,2017,47269,2387679,1151849,890672,345158
Boston,2446040,2018,46097,2399943,1128716,901477,369750
Boston,1876883,2021,45764,1831119,1000046,644439,186634
Boston,2261304,2012,55141,2206163,1131157,802339,272667
Boston,2500383,2019,48784,2451599,1150682,911844,389073
Boston,2084693,2022,44322,2040371,1034520,757472,248379
Boston,2380373,2015,56116,2324257,1122614,849739,351904
Boston,2312285,2014,49836,2262449,1131012,818469,312968
Boston,2407900,2016,47588,2360312,1154375,872955,332982
Boston,2297628,2013,51500,2246128,1145128,816885,284115
Boston,2166531,2010,55117,2111414,1126456,747269,237689
Boston,2195778,2023,43624,2152154,1071810,777949,302395
Buffalo,526531,2015,13584,512947,366756,128504,17687
Buffalo,514178,2012,16080,498098,375165,106593,16340
Buffalo,516825,2014,16730,500095,369294,115266,15535
Buffalo,464954,2021,16811,448143,342785,91423,13935
Buffalo,503933,2011,17973,485960,363702,107056,15202
Buffalo,520122,2018,15125,504997,366530,121502,16965
Buffalo,532418,2017,16552,515866,376928,121080,17858
Buffalo,512694,2013,15193,497501,373131,111644,12726
Buffalo,515877,2016,15460,500417,367787,117457,15173
Buffalo,531218,2019,15148,516070,373282,126499,16289
Buffalo,490190,2022,16876,473314,346376,109220,17718
Buffalo,501708,2010,19280,482428,358828,108936,14664
Buffalo,499105,2023,14819,484286,360424,104859,19003
Charlotte,1097942,2015,23078,1074864,627941,369328,77595
Charlotte,1091947,2022,23872,1068075,640759,358658,68658
Charlotte,1064335,2014,22609,1041726,624588,347585,69553
Charlotte,995340,2021,22523,972817,602331,311606,58880
Charlotte,804105,2012,18018,786087,489405,251404,45278
Charlotte,757128,2010,15373,741755,458681,243122,39952
Charlotte,1188458,2018,20306,1168152,671050,404161,92941
Charlotte,1222404,2019,21676,1200728,703158,397429,100141
Charlotte,1118520,2016,14424,1104096,650360,384169,69567
Charlotte,1030250,2013,22881,1007369,621762,319608,65999
Charlotte,1136681,2023,25631,1111050,644997,383732,82321
Charlotte,781578,2011,15434,766144,476187,249227,40730
Charlotte,1153392,2017,17489,1135903,671488,380307,84108
Chicago,4459381,2019,67142,4392239,2047472,1701996,642771
Chicago,4096292,2010,74881,4021411,1991742,1492870,536799
Chicago,4143034,2011,74289,4068745,2001274,1510905,556566
Chicago,3978255,2023,79175,3899080,1960313,1452623,486144
Chicago,4279656,2013,79258,4200398,2074750,1567581,558067
Chicago,3923570,2022,74808,3848762,1943790,1445045,459927
Chicago,4375761,2015,69059,4306702,2064627,1611060,631015
Chicago,4407706,2016,70339,4337367,2062269,1654807,620291
Chicago,3595239,2021,72877,3522362,1859324,1299644,363394
Chicago,4333467,2014,73564,4259903,2046866,1604252,608785
Chicago,4455102,2018,71920,4383182,2057845,1679528,645809
Chicago,4415454,2017,68183,4347271,2062684,1662758,621829
Chicago,4227545,2012,76833,4150712,2068032,1539525,543155
Cincinnati,944592,2011,20459,924133,598525,284248,41360
Cincinnati,938248,2010,22702,915546,597585,273365,44596
Cincinnati,970037,2012,23638,946399,615161,285156,46082
"Cincinnati,",1019187,2017,24989,994198,626731,316334,51133
"Cincinnati,",986894,2015,22824,964070,611753,305199,47118
"Cincinnati,",959979,2013,25128,934851,601981,287684,45186
"Cincinnati,",993295,2016,21001,972294,626325,296608,49361
"Cincinnati,",1025276,2018,22315,1002961,634987,320806,47168
"Cincinnati,",977775,2014,22619,955156,611479,296314,47363
"Cincinnati,",987630,2023,26241,961389,626658,292506,42225
"Cincinnati,",1047994,2019,22944,1025050,627110,335233,62707
"Cincinnati,",961388,2022,22022,939366,590242,300770,48354
"Cincinnati,",903252,2021,24717,878535,584019,253455,41061
Cleveland,937946,2019,26412,911534,580087,287456,43991
Cleveland,898872,2010,20376,878496,563732,272888,41876
Cleveland,925908,2014,21309,904599,568969,293185,42445
Cleveland,923769,2015,20182,903587,577549,280631,45407
Cleveland,914727,2013,20184,894543,567894,282940,43709
Cleveland,929189,2016,26512,902677,570592,286042,46043
Cleveland,847264,2022,22313,824951,551253,236452,37246
Cleveland,899546,2011,21930,877616,567013,270263,40340
Cleveland,930350,2017,23596,906754,589433,276053,41268
Cleveland,943935,2018,26825,917110,592415,281446,43249
Cleveland,900429,2012,23242,877187,561917,272499,42771
Cleveland,820960,2021,24560,796400,524154,239450,32796
Dallas,3036252,2021,57989,2978263,1688699,1065892,223672
Dallas,3449185,2017,59065,3390120,1810928,1254554,324638
Dallas,2918497,2011,58771,2859726,1641704,1001893,216129
Dallas,3112015,2013,58981,3053034,1719253,1083485,250296
