Metro,Total,Year,No Commute,Yes Commute (more than 5 minutes),Short Commutes - Less than half-hour,Medium Commutes - Half-hour to one hour,Long Commutes - More than one hour,No Commute (%),Yes Commute (more than 5 minutes) (%),Short Commutes - Less than half-hour (%),Medium Commutes - Half-hour to one hour (%),Long Commutes - More than one hour (%)
San Antonio,1019865,2021,22830,997035,613468,318222,65345,2.23853,97.76147,61.52923,31.91683,6.55393
San Antonio,1058898,2016,18331,1040567,626670,342654,71243,1.73114,98.26886,60.2239,32.92955,6.84656
San Antonio,933859,2010,24053,909806,576388,283269,50149,2.57566,97.42434,63.35285,31.1351,5.51205
San Antonio,971730,2012,23624,948106,607079,283880,57147,2.43113,97.56887,64.03071,29.9418,6.02749
San Diego,1350683,2022,24321,1326362,832296,413607,80459,1.80064,98.19936,62.75029,31.18357,6.06614
San Diego,1239125,2021,21675,1217450,801450,351231,64769,1.74922,98.25078,65.83022,28.84973,5.32005
San Diego,1327049,2011,25225,1301824,879316,348143,74365,1.90083,98.09917,67.54492,26.74271,5.71237
San Diego,1476292,2015,21318,1454974,908433,440982,105559,1.44402,98.55598,62.43637,30.30858,7.25504
San Diego,1307266,2010,28411,1278855,855263,350068,73524,2.17331,97.82669,66.87725,27.37355,5.74921
San Diego,1546445,2019,17049,1529396,903354,502614,123428,1.10246,98.89754,59.06606,32.86356,8.07038
San Diego,1535345,2017,19388,1515957,924349,482241,109367,1.26278,98.73722,60.97462,31.81099,7.21439
San Diego,1383027,2013,22591,1360436,894498,386819,79119,1.63345,98.36655,65.75083,28.43346,5.81571
San Diego,1430884,2014,27989,1402895,905122,406376,91397,1.95606,98.04394,64.51816,28.96696,6.51489
San Diego,1407306,2023,32414,1374892,856332,429871,88689,2.30327,97.69673,62.28358,31.2658,6.45062
San Diego,1540361,2018,19489,1520872,921701,485615,113556,1.26522,98.73478,60.60346,31.93004,7.46651
San Diego,1490686,2016,22833,1467853,911008,450503,106342,1.53171,98.46829,62.06398,30.69129,7.24473
San Diego,1361160,2012,24230,1336930,880861,379545,76524,1.7801,98.2199,65.88685,28.38929,5.72386
San Francisco,1864429,2023,25181,1839248,924544,636185,278519,1.3506,98.6494,50.2675,34.58941,15.14309
San Francisco,2161255,2015,22503,2138752,1002797,769044,366911,1.0412,98.9588,46.88702,35.95761,17.15538
San Francisco,1718516,2022,24302,1694214,874834,598758,220622,1.41413,98.58587,51.63657,35.34134,13.02209
San Francisco,1923369,2010,30917,1892452,1015847,668587,208018,1.60744,98.39256,53.67888,35.32914,10.99198
San Francisco,2100937,2014,28271,2072666,1009309,742268,321089,1.34564,98.65436,48.69617,35.81223,15.49159
San Francisco,1493862,2021,30357,1463505,798842,500591,164072,2.03212,97.96788,54.58417,34.20494,11.21089
San Francisco,1920727,2011,31543,1889184,994444,677742,216998,1.64224,98.35776,52.63881,35.87485,11.48633
San Francisco,1991876,2012,30251,1961625,999906,695926,265793,1.51872,98.48128,50.97335,35.47702,13.54963
San Francisco,2048701,2013,27780,2020921,1007110,731291,282520,1.35598,98.64402,49.83421,36.18603,13.97976
San Francisco,2264018,2019,33849,2230169,983054,806871,440244,1.49509,98.50491,44.0798,36.17981,19.74039
San Francisco,2210949,2017,27058,2183891,977477,809741,396673,1.22382,98.77618,44.75851,37.0779,18.16359
San Francisco,2180631,2016,26611,2154020,978147,801467,374406,1.22033,98.77967,45.4103,37.20796,17.38173
San Francisco,2254095,2018,26477,2227618,996955,811838,418825,1.17462,98.82538,44.75431,36.44422,18.80147
Seattle,1416094,2021,33233,1382861,761019,486082,135760,2.34681,97.65319,55.03221,35.15046,9.81733
Seattle,1773998,2015,29427,1744571,902581,633057,208933,1.6588,98.3412,51.73656,36.28726,11.97618
Seattle,1824275,2016,29746,1794529,912343,659549,222637,1.63057,98.36943,50.84025,36.75332,12.40643
Seattle,1921071,2018,27171,1893900,927021,713813,253066,1.41437,98.58563,48.94773,37.69011,13.36216
Seattle,1586303,2022,33886,1552417,850550,549148,152719,2.13616,97.86384,54.78876,35.37374,9.8375
Seattle,1709231,2023,32620,1676611,916747,577754,182110,1.90846,98.09154,54.67857,34.45963,10.86179
Seattle,1683444,2013,35074,1648370,901346,584986,162038,2.08347,97.91653,54.68105,35.48876,9.8302
Seattle,1608829,2011,32583,1576246,887872,551381,136993,2.02526,97.97474,56.32826,34.98064,8.69109
Seattle,1664598,2012,33043,1631555,895233,582534,153788,1.98504,98.01496,54.86992,35.70422,9.42585
Seattle,1736873,2014,32335,1704538,887247,626647,190644,1.86168,98.13832,52.05205,36.76345,11.1845
Seattle,1963614,2019,28034,1935580,936439,754121,245020,1.42767,98.57233,48.38028,38.96098,12.65874
Seattle,1571812,2010,37721,1534091,881375,526886,125830,2.39984,97.60016,57.45259,34.34516,8.20225
Seattle,1872114,2017,30031,1842083,912067,699796,230220,1.60412,98.39588,49.51281,37.98938,12.49781
"St. Louis,",1165009,2022,32185,1132824,716487,357216,59121,2.76264,97.23736,63.24787,31.53323,5.2189
"St. Louis,",1307667,2017,27800,1279867,776867,429083,73917,2.12592,97.87408,60.69904,33.52559,5.77537
"St. Louis,",1310504,2015,27476,1283028,791187,415947,75894,2.0966,97.9034,61.66561,32.41917,5.91523
"St. Louis,",1274322,2014,30245,1244077,770455,402028,71594,2.37342,97.62658,61.92985,32.31536,5.75479
"St. Louis,",1325342,2018,30345,1294997,779954,435660,79383,2.2896,97.7104,60.22825,33.64178,6.12998
"St. Louis,",1256594,2010,35223,1221371,768326,384295,68750,2.80305,97.19695,62.90685,31.46423,5.62892
"St. Louis,",1260056,2011,36561,1223495,773406,381861,68228,2.90154,97.09846,63.21285,31.21067,5.57648
"St. Louis,",1263271,2012,31420,1231851,765114,392035,74702,2.48719,97.51281,62.11092,31.82487,6.06421
"St. Louis,",1228194,2023,34639,1193555,761317,368018,64220,2.82032,97.17968,63.78567,30.83377,5.38056
"St. Louis,",1323479,2019,26350,1297129,789801,432657,74671,1.99096,98.00904,60.88839,33.35497,5.75664
"St. Louis,",1109252,2021,26611,1082641,704395,326857,51389,2.399,97.601,65.06266,30.19071,4.74663
"St. Louis,",1275535,2013,30876,1244659,770758,406691,67210,2.42063,97.57937,61.92523,32.67489,5.39987
"St. Louis,",1304258,2016,28316,1275942,780980,412904,82058,2.17104,97.82896,61.20811,32.36072,6.43117
Tampa,1266517,2016,23810,1242707,726918,408880,106909,1.87996,98.12004,58.49472,32.90237,8.60291
Tampa,1241779,2022,26520,1215259,685204,414204,115851,2.13565,97.86435,56.38337,34.0836,9.53303
Tampa,1131800,2010,25248,1106552,686817,346204,73531,2.23078,97.76922,62.06821,31.28674,6.64506
Tampa,1127587,2011,26867,1100720,667963,362722,70035,2.3827,97.6173,60.68419,32.95316,6.36265
Tampa,1151281,2012,21288,1129993,695473,359009,75511,1.84907,98.15093,61.54666,31.7709,6.68243
Tampa,1200123,2013,27952,1172171,709244,377214,85713,2.32909,97.67091,60.50687,32.1808,7.31233
Tampa,1216314,2014,24279,1192035,701870,396268,93897,1.99611,98.00389,58.87998,33.24298,7.87703
Tampa,1295172,2023,29239,1265933,684519,448262,133152,2.25754,97.74246,54.07229,35.40961,10.51809
Tampa,1299297,2017,26481,1272816,719370,438397,115049,2.0381,97.9619,56.51799,34.44308,9.03893
Tampa,1246197,2015,25024,1221173,725692,390340,105141,2.00803,97.99197,59.42581,31.96435,8.60984
Tampa,1334616,2018,26034,1308582,735526,456128,116928,1.95067,98.04933,56.20786,34.85666,8.93547
Tampa,1360550,2019,24555,1335995,748570,459058,128367,1.80478,98.19522,56.0309,34.36076,9.60834
Tampa,1191597,2021,28556,1163041,676397,399657,86987,2.39645,97.60355,58.15762,34.3631,7.47927
Washington,3065253,2016,35660,3029593,1282296,1200274,547023,1.16336,98.83664,42.32569,39.61832,18.05599
Washington,3059053,2015,39620,3019433,1287832,1202970,528631,1.29517,98.70483,42.65145,39.84092,17.50762
Washington,2545435,2022,43903,2501532,1156285,986771,358476,1.72477,98.27523,46.22307,39.44667,14.33026
Washington,2993036,2014,39064,2953972,1252935,1183978,517059,1.30516,98.69484,42.41526,40.08088,17.50386
Washington,3144623,2018,36290,3108333,1298938,1259804,549591,1.15403,98.84597,41.78889,40.52989,17.68121
Washington,2962993,2013,39331,2923662,1263569,1169835,490258,1.32741,98.67259,43.21871,40.01266,16.76863
Washington,2915564,2012,34777,2880787,1240086,1155609,485092,1.19281,98.80719,43.04678,40.11435,16.83887
Washington,3160911,2019,34966,3125945,1278269,1269761,577915,1.1062,98.8938,40.89224,40.62007,18.48769
Washington,2831822,2011,39499,2792323,1185049,1119084,488190,1.39483,98.60517,42.43954,40.07717,17.48329
Washington,2788202,2010,45593,2742609,1183513,1090344,468752,1.63521,98.36479,43.15282,39.75572,17.09146
Washington,2217836,2021,40707,2177129,1057591,855363,264175,1.83544,98.16456,48.57732,39.28858,12.1341
Washington,3123186,2017,35985,3087201,1288175,1252830,546196,1.15219,98.84781,41.72631,40.58142,17.69227
Washington,2652851,2023,38661,2614190,1196349,1045634,372207,1.45734,98.54266,45.76366,39.99839,14.23795
