Metro Area,Total,Year,No Commute,Yes Commute (more than 5 minutes),Short Commutes - Less than half-hour,Medium Commutes - Half-hour to one hour,Long Commutes - More than one hour
Houston,3013585,2015,47220,2966365,1464940,1143801,357624
Houston,2834241,2013,49080,2785161,1458610,1022906,303645
Houston,2786418,2021,54297,2732121,1417453,1065549,249119
Houston,3132202,2018,38428,3093774,1553067,1193690,347017
Houston,2683111,2011,53724,2629387,1440910,954596,233881
Houston,3048882,2017,42265,3006617,1517999,1150117,338501
Houston,2955305,2014,52802,2902503,1493186,1084461,324856
Houston,3198759,2019,42584,3156175,1529826,1262305,364044
Houston,3017233,2016,48884,2968349,1489472,1140229,338648
Los Angeles,5388495,2023,75464,5313031,2736248,1927706,649077
Los Angeles,5974755,2016,67278,5907477,3000700,2113383,793394
Los Angeles,5818616,2014,75169,5743447,3034279,2029042,680126
Los Angeles,5899773,2015,72742,5827031,3019371,2071981,735679
Los Angeles,5250177,2022,79040,5171137,2757331,1835102,578704
Los Angeles,5663516,2013,80239,5583277,2997315,1925561,660401
Los Angeles,5392512,2010,80026,5312486,2949092,1800246,563148
Los Angeles,5428907,2011,80029,5348878,2911754,1838798,598326
Los Angeles,6077813,2018,67321,6010492,2952518,2216032,841942
Los Angeles,5551323,2012,72107,5479216,2965655,1886271,627290
Los Angeles,4773103,2021,73685,4699418,2553947,1663534,481937
Los Angeles,6066040,2017,73254,5992786,2997588,2168855,826343
Los Angeles,6114413,2019,73272,6041141,2983884,2173826,883431
Miami,2740841,2017,33041,2707800,1367008,1050395,290397
Miami,2578324,2022,42451,2535873,1328099,954172,253602
Miami,2643227,2023,33146,2610081,1369269,965283,275529
Miami,2395786,2011,36366,2359420,1321090,854570,183760
Miami,2703405,2016,28967,2674438,1378388,1006350,289700
Miami,2440654,2021,38007,2402647,1298358,896851,207438
Miami,2655983,2015,32456,2623527,1353696,1003474,266357
Miami,2843985,2019,36822,2807163,1395766,1095844,315553
Miami,2327054,2010,39508,2287546,1293162,815318,179066
Miami,2456010,2012,33366,2422644,1308046,914820,199778
Miami,2509362,2013,40746,2468616,1352541,914441,201634
Miami,2614254,2014,35578,2578676,1406216,938055,234405
Miami,2814512,2018,34811,2779701,1350974,1111957,316770
Minneapolis,1430832,2021,41864,1388968,948217,382346,58405
Minneapolis,1790878,2016,37547,1753331,1098559,555641,99131
Minneapolis,1836758,2018,31649,1805109,1119976,583247,101886
Minneapolis,1826361,2017,33577,1792784,1110934,576920,104930
Minneapolis,1559291,2022,39245,1520046,1015398,432184,72464
Minneapolis,1836359,2019,33447,1802912,1099558,592799,110555
Minneapolis,1618919,2023,41613,1577306,1059334,447618,70354
Minneapolis,1723294,2013,39524,1683770,1056528,532494,94748
Minneapolis,1585973,2010,35777,1550196,983213,485689,81294
Minneapolis,1618675,2011,36194,1582481,1001258,497120,84103
Minneapolis,1657563,2012,37625,1619938,1034974,494562,90402
Minneapolis,1757506,2014,39482,1718024,1063801,551277,102946
Minneapolis,1779099,2015,35355,1743744,1079978,565265,98501
New York,8022549,2022,161871,7860678,3337481,2878172,1645025
New York,8296382,2011,151029,8145353,3552997,2930978,1661378
New York,7057098,2021,146018,6911080,3073828,2551736,1285516
New York,9033594,2019,123125,8910469,3486800,3369146,2054523
New York,8458242,2012,143520,8314722,3569484,3047719,1697519
New York,8888158,2013,146827,8741331,3735438,3203609,1802284
New York,9258386,2018,134606,9123780,3631830,3397627,2094323
New York,9082578,2014,158267,8924311,3740145,3302694,1881472
New York,9382250,2017,143258,9238992,3767449,3360567,2110976
New York,9186623,2015,136305,9050318,3780918,3302783,1966617
New York,8317168,2023,149145,8168023,3409091,3045597,1713335
New York,8249679,2010,143014,8106665,3566986,2922800,1616879
New York,9192943,2016,133681,9059262,3698374,3353458,2007430
Orlando,1087825,2016,13936,1073889,572050,420157,81682
Orlando,1119577,2022,18920,1100657,601613,404966,94078
Orlando,950262,2011,13589,936673,551644,327138,57891
Orlando,1031896,2021,14413,1017483,550114,382641,84728
Orlando,1200416,2019,14664,1185752,586857,485301,113594
Orlando,966991,2012,11510,955481,556109,331967,67405
Orlando,991095,2013,14218,976877,556789,357824,62264
Orlando,1183801,2018,22253,1161548,611106,458308,92134
Orlando,1008179,2014,11511,996668,551067,376468,69133
Orlando,1129969,2017,15793,1114176,577919,448350,87907
Orlando,921988,2010,13393,908595,537846,316951,53798
Orlando,1071243,2015,12288,1058955,575293,409735,73927
Orlando,1167007,2023,13865,1153142,602754,449644,100744
Philadelphia,2750522,2016,54943,2695579,1422925,952924,319730
Philadelphia,2836136,2019,60159,2775977,1419395,1007802,348780
Philadelphia,2600131,2011,59740,2540391,1410112,858859,271420
Philadelphia,2761490,2015,61510,2699980,1434496,951072,314412
Philadelphia,2684735,2013,60042,2624693,1435474,908076,281143
Philadelphia,2604278,2023,55782,2548496,1364712,909449,274335
Philadelphia,2621007,2010,58214,2562793,1418017,873414,271362
Philadelphia,2287095,2021,60682,2226413,1258746,778110,189557
Philadelphia,2808466,2018,50923,2757543,1424460,999386,333697
